postId,district,platform,content,sentiment,reach,timeStamp
S0022,Ri-Bhoi,Whatsapp,Awareness camp in Ri-Bhoi about preventing Typhoid.,Neutral,Low,2025-09-11T08:09:26
S0023,Sonitpur,Forum,Hospitals in Sonitpur are seeing more patients with Typhoid.,Positive,Low,2025-09-14T20:00:26
S0024,Barpeta,News,Awareness camp in Barpeta about preventing Dysentery.,Positive,Low,2025-09-24T11:22:26
S0025,Imphal West,Whatsapp,Shortage of Electrolyte Powder reported in Imphal West pharmacies.,Positive,Medium,2025-08-28T23:08:26
S0026,Jorhat,Twitter,Rumors spreading on WhatsApp in Jorhat about unsafe drinking water.,Neutral,Medium,2025-09-26T17:28:26
S0027,Imphal West,Whatsapp,Awareness camp in Imphal West about preventing Typhoid.,Positive,Low,2025-09-15T16:06:26
S0028,Mokokchung,Forum,Is the water safe in Mokokchung? Many have symptoms like Headache.,Positive,Low,2025-09-22T13:10:26
S0029,Kohima,Whatsapp,People in Kohima complaining about dirty water and cases of Typhoid.,Negative,Medium,2025-08-28T11:44:26
S0030,Sonitpur,News,Shortage of ORS reported in Sonitpur pharmacies.,Neutral,Medium,2025-09-03T00:46:26
S0031,Ri-Bhoi,Forum,Shortage of Anti-diarrheal reported in Ri-Bhoi pharmacies.,Negative,Low,2025-09-22T17:00:26
S0032,Sonitpur,News,Shortage of Paracetamol reported in Sonitpur pharmacies.,Negative,High,2025-09-18T01:56:26
S0033,Ri-Bhoi,Whatsapp,Shortage of ORS reported in Ri-Bhoi pharmacies.,Neutral,Medium,2025-09-15T00:15:26
S0034,Mokokchung,Whatsapp,Hospitals in Mokokchung are seeing more patients with Cholera.,Negative,Medium,2025-09-10T06:02:26
S0035,Dibrugarh,News,Hospitals in Dibrugarh are seeing more patients with Typhoid.,Positive,Low,2025-09-02T08:42:26
S0036,Imphal West,Whatsapp,Hospitals in Imphal West are seeing more patients with Dysentery.,Positive,Low,2025-09-21T21:11:26
S0037,Barpeta,Facebook,Awareness camp in Barpeta about preventing Cholera.,Negative,Low,2025-09-23T20:48:26
S0038,Cachar,Twitter,Awareness camp in Cachar about preventing Diarrhea.,Negative,High,2025-08-28T11:36:26
S0039,West Khasi Hills,News,Awareness camp in West Khasi Hills about preventing Diarrhea.,Negative,Medium,2025-09-05T09:10:26
S0040,Cachar,Facebook,People in Cachar complaining about dirty water and cases of Dysentery.,Neutral,High,2025-09-18T06:52:26
S0041,Shillong,Whatsapp,Is the water safe in Shillong? Many have symptoms like Bloody diarrhea.,Positive,High,2025-09-03T04:46:26
S0042,East Khasi Hills,Twitter,Hospitals in East Khasi Hills are seeing more patients with Typhoid.,Positive,High,2025-09-22T15:12:26
S0043,Cachar,Whatsapp,Shortage of Paracetamol reported in Cachar pharmacies.,Negative,High,2025-09-22T19:04:26
S0044,East Khasi Hills,Twitter,Shortage of ORS reported in East Khasi Hills pharmacies.,Neutral,Medium,2025-08-29T14:43:26
S0045,Sonitpur,News,People in Sonitpur complaining about dirty water and cases of Hepatitis A.,Neutral,Low,2025-08-27T05:51:26
S0046,Imphal East,Whatsapp,Shortage of ORS reported in Imphal East pharmacies.,Positive,Low,2025-09-26T00:37:26
S0047,Sonitpur,Twitter,Shortage of Electrolyte Powder reported in Sonitpur pharmacies.,Positive,Low,2025-09-23T19:44:26
S0048,Barpeta,Facebook,Hospitals in Barpeta are seeing more patients with Cholera.,Neutral,High,2025-08-29T06:04:26
S0049,Ri-Bhoi,Twitter,Shortage of ORS reported in Ri-Bhoi pharmacies.,Positive,Low,2025-09-05T00:31:26
S0050,Kamrup,News,"🚨 Outbreak alert! Many people in Kamrup are suffering from Hepatitis A, showing Dark urine.",Positive,High,2025-09-22T00:58:26
S0051,Jorhat,Twitter,Awareness camp in Jorhat about preventing Cholera.,Negative,Low,2025-09-24T21:49:26
S0052,Cachar,News,Hospitals in Cachar are seeing more patients with Diarrhea.,Neutral,High,2025-09-02T23:52:26
S0053,Kamrup,Whatsapp,Shortage of Antibiotics reported in Kamrup pharmacies.,Positive,Medium,2025-09-14T09:39:26
S0054,Mokokchung,Whatsapp,Rumors spreading on WhatsApp in Mokokchung about unsafe drinking water.,Neutral,High,2025-09-08T01:35:26
S0055,Sonitpur,Whatsapp,Shortage of Antibiotics reported in Sonitpur pharmacies.,Positive,Low,2025-08-27T16:54:26
S0056,Imphal West,Whatsapp,People in Imphal West complaining about dirty water and cases of Dysentery.,Positive,High,2025-09-24T15:32:26
S0057,Ri-Bhoi,News,Awareness camp in Ri-Bhoi about preventing Dysentery.,Negative,Low,2025-09-09T04:22:26
S0058,Barpeta,Facebook,Awareness camp in Barpeta about preventing Dysentery.,Neutral,Medium,2025-09-11T22:01:26
S0059,Sonitpur,Twitter,Shortage of ORS reported in Sonitpur pharmacies.,Negative,Medium,2025-09-24T10:48:26
S0060,Imphal West,Whatsapp,People in Imphal West complaining about dirty water and cases of Cholera.,Negative,Low,2025-09-02T19:00:26
S0061,Aizawl,News,Shortage of Antibiotics reported in Aizawl pharmacies.,Positive,High,2025-09-17T11:55:26
S0062,Kamrup,Whatsapp,People in Kamrup complaining about dirty water and cases of Cholera.,Positive,High,2025-08-28T05:54:26
S0063,Barpeta,Forum,People in Barpeta complaining about dirty water and cases of Diarrhea.,Negative,Low,2025-09-21T09:58:26
S0064,Sonitpur,Whatsapp,People in Sonitpur complaining about dirty water and cases of Hepatitis A.,Neutral,Medium,2025-09-11T19:45:26
S0065,Kamrup,Whatsapp,"🚨 Outbreak alert! Many people in Kamrup are suffering from Diarrhea, showing Stomach cramps.",Negative,High,2025-08-28T20:42:26
S0066,Jorhat,Whatsapp,Is the water safe in Jorhat? Many have symptoms like Headache.,Positive,Medium,2025-09-19T20:28:26
S0067,West Khasi Hills,Facebook,Is the water safe in West Khasi Hills? Many have symptoms like Abdominal pain.,Negative,High,2025-08-28T12:50:26
S0068,Sonitpur,Facebook,Shortage of Electrolyte Powder reported in Sonitpur pharmacies.,Negative,Medium,2025-09-15T09:26:26
S0069,Cachar,Facebook,Shortage of Probiotics reported in Cachar pharmacies.,Positive,Medium,2025-09-20T15:39:26
S0070,Kamrup,Twitter,"🚨 Outbreak alert! Many people in Kamrup are suffering from Typhoid, showing Weakness.",Neutral,Medium,2025-08-29T14:40:26
S0071,Shillong,Twitter,Shortage of ORS reported in Shillong pharmacies.,Negative,Medium,2025-09-24T12:07:26
S0072,Dibrugarh,Forum,"🚨 Outbreak alert! Many people in Dibrugarh are suffering from Dysentery, showing Bloody diarrhea.",Positive,Low,2025-09-22T13:25:26
S0073,Ri-Bhoi,Forum,Shortage of Electrolyte Powder reported in Ri-Bhoi pharmacies.,Positive,Medium,2025-09-16T18:30:26
S0074,Imphal East,Twitter,Awareness camp in Imphal East about preventing Cholera.,Negative,High,2025-09-22T05:23:26
S0075,Kohima,Forum,Rumors spreading on WhatsApp in Kohima about unsafe drinking water.,Positive,Medium,2025-09-21T22:54:26
S0076,Jorhat,News,Is the water safe in Jorhat? Many have symptoms like Loose stools.,Neutral,Low,2025-09-17T01:28:26
S0077,Ri-Bhoi,Whatsapp,Hospitals in Ri-Bhoi are seeing more patients with Cholera.,Negative,Low,2025-09-05T12:36:26
S0078,Kohima,News,Shortage of Anti-diarrheal reported in Kohima pharmacies.,Negative,Low,2025-09-23T16:16:26
S0079,Dibrugarh,Forum,Is the water safe in Dibrugarh? Many have symptoms like Dark urine.,Neutral,High,2025-09-20T15:50:26
S0080,Aizawl,Forum,Hospitals in Aizawl are seeing more patients with Hepatitis A.,Negative,Low,2025-09-04T09:14:26
S0081,Kamrup,Forum,Shortage of Probiotics reported in Kamrup pharmacies.,Neutral,Medium,2025-09-10T13:49:26
S0082,Kohima,Twitter,Hospitals in Kohima are seeing more patients with Diarrhea.,Negative,High,2025-09-10T18:18:26
S0083,Jorhat,Whatsapp,People in Jorhat complaining about dirty water and cases of Hepatitis A.,Neutral,High,2025-08-29T12:17:26
S0084,Kohima,Whatsapp,People in Kohima complaining about dirty water and cases of Diarrhea.,Negative,Medium,2025-08-31T00:32:26
S0085,Kohima,Whatsapp,Is the water safe in Kohima? Many have symptoms like Muscle cramps.,Neutral,High,2025-09-23T04:23:26
S0086,East Khasi Hills,Whatsapp,Awareness camp in East Khasi Hills about preventing Cholera.,Positive,Low,2025-08-30T00:21:26
S0087,Jorhat,Forum,Rumors spreading on WhatsApp in Jorhat about unsafe drinking water.,Positive,High,2025-08-28T16:52:26
S0088,Ri-Bhoi,Forum,Awareness camp in Ri-Bhoi about preventing Cholera.,Negative,High,2025-09-14T01:55:26
S0089,Aizawl,Twitter,Awareness camp in Aizawl about preventing Dysentery.,Neutral,Low,2025-08-28T09:17:26
S0090,Barpeta,Whatsapp,Rumors spreading on WhatsApp in Barpeta about unsafe drinking water.,Positive,High,2025-09-12T18:55:26
S0091,Dibrugarh,News,"🚨 Outbreak alert! Many people in Dibrugarh are suffering from Hepatitis A, showing Dark urine.",Positive,Low,2025-09-01T12:36:26
S0092,Mokokchung,Facebook,Rumors spreading on WhatsApp in Mokokchung about unsafe drinking water.,Positive,High,2025-08-30T06:22:26
S0093,Imphal East,Twitter,Hospitals in Imphal East are seeing more patients with Diarrhea.,Neutral,High,2025-09-16T09:04:26
S0094,Jorhat,News,Is the water safe in Jorhat? Many have symptoms like Abdominal pain.,Positive,Low,2025-09-24T00:52:26
S0095,Ri-Bhoi,Facebook,Is the water safe in Ri-Bhoi? Many have symptoms like Abdominal pain.,Negative,Medium,2025-09-11T18:03:26
S0096,Cachar,Whatsapp,Hospitals in Cachar are seeing more patients with Diarrhea.,Positive,Low,2025-09-01T00:12:26
S0097,Cachar,Facebook,Is the water safe in Cachar? Many have symptoms like Fever.,Neutral,Low,2025-09-09T01:28:26
S0098,Ri-Bhoi,Facebook,Rumors spreading on WhatsApp in Ri-Bhoi about unsafe drinking water.,Positive,Medium,2025-08-31T06:22:26
S0099,Aizawl,News,Is the water safe in Aizawl? Many have symptoms like Weakness.,Neutral,Low,2025-09-02T10:32:26
S0100,West Khasi Hills,News,People in West Khasi Hills complaining about dirty water and cases of Diarrhea.,Negative,High,2025-09-24T05:31:26
S0101,Ri-Bhoi,Forum,Awareness camp in Ri-Bhoi about preventing Cholera.,Positive,High,2025-09-10T09:10:26
S0102,West Khasi Hills,Whatsapp,Awareness camp in West Khasi Hills about preventing Dysentery.,Neutral,Low,2025-09-23T10:24:26
S0103,Dibrugarh,News,Is the water safe in Dibrugarh? Many have symptoms like Vomiting.,Neutral,Low,2025-09-22T07:08:26
S0104,East Khasi Hills,Forum,Rumors spreading on WhatsApp in East Khasi Hills about unsafe drinking water.,Positive,Low,2025-09-05T04:15:26
S0105,Dibrugarh,News,Is the water safe in Dibrugarh? Many have symptoms like Abdominal pain.,Negative,Low,2025-09-01T17:43:26
S0106,Barpeta,Forum,Is the water safe in Barpeta? Many have symptoms like Abdominal pain.,Positive,High,2025-09-07T00:17:26
S0107,Cachar,Whatsapp,Awareness camp in Cachar about preventing Diarrhea.,Neutral,Low,2025-09-02T16:38:26
S0108,Kohima,News,Shortage of Antibiotics reported in Kohima pharmacies.,Negative,Medium,2025-09-20T02:10:26
S0109,Dibrugarh,Whatsapp,Rumors spreading on WhatsApp in Dibrugarh about unsafe drinking water.,Negative,Medium,2025-08-29T18:08:26
S0110,Sonitpur,Forum,Hospitals in Sonitpur are seeing more patients with Dysentery.,Neutral,High,2025-09-25T03:51:26
S0111,Aizawl,Twitter,Awareness camp in Aizawl about preventing Diarrhea.,Neutral,Low,2025-09-21T13:27:26
S0112,Imphal West,Forum,Is the water safe in Imphal West? Many have symptoms like Abdominal pain.,Negative,High,2025-09-24T20:48:26
S0113,Shillong,Twitter,Awareness camp in Shillong about preventing Typhoid.,Negative,Low,2025-08-29T08:05:26
S0114,East Khasi Hills,News,Rumors spreading on WhatsApp in East Khasi Hills about unsafe drinking water.,Neutral,Medium,2025-08-27T13:17:26
S0115,Shillong,Forum,People in Shillong complaining about dirty water and cases of Diarrhea.,Positive,Low,2025-09-07T13:57:26
S0116,Sonitpur,Twitter,Is the water safe in Sonitpur? Many have symptoms like Dark urine.,Positive,High,2025-09-14T13:50:26
S0117,Barpeta,News,People in Barpeta complaining about dirty water and cases of Dysentery.,Neutral,Low,2025-09-25T16:04:26
S0118,Dibrugarh,Facebook,"🚨 Outbreak alert! Many people in Dibrugarh are suffering from Diarrhea, showing Loose stools.",Negative,High,2025-09-12T17:35:26
S0119,Ri-Bhoi,Facebook,Rumors spreading on WhatsApp in Ri-Bhoi about unsafe drinking water.,Positive,Low,2025-09-12T15:09:26
S0120,Shillong,Forum,Awareness camp in Shillong about preventing Hepatitis A.,Negative,High,2025-09-13T05:42:26
S0121,Dibrugarh,Forum,"🚨 Outbreak alert! Many people in Dibrugarh are suffering from Typhoid, showing Fever.",Neutral,High,2025-09-06T23:34:26
S0122,Ri-Bhoi,Facebook,People in Ri-Bhoi complaining about dirty water and cases of Typhoid.,Positive,Low,2025-09-15T19:02:26
S0123,Shillong,Twitter,Rumors spreading on WhatsApp in Shillong about unsafe drinking water.,Negative,Low,2025-09-10T08:09:26
S0124,Imphal West,Forum,Hospitals in Imphal West are seeing more patients with Diarrhea.,Negative,Medium,2025-08-30T11:37:26
S0125,Aizawl,Facebook,Shortage of Anti-diarrheal reported in Aizawl pharmacies.,Positive,Low,2025-09-25T04:04:26
S0126,West Khasi Hills,News,Awareness camp in West Khasi Hills about preventing Cholera.,Neutral,Medium,2025-09-20T07:51:26
S0127,Dibrugarh,News,Rumors spreading on WhatsApp in Dibrugarh about unsafe drinking water.,Neutral,Low,2025-09-07T16:30:26
S0128,Cachar,Whatsapp,Rumors spreading on WhatsApp in Cachar about unsafe drinking water.,Neutral,Low,2025-09-08T06:46:26
S0129,Barpeta,News,Awareness camp in Barpeta about preventing Cholera.,Negative,Medium,2025-09-09T19:07:26
S0130,Jorhat,Twitter,People in Jorhat complaining about dirty water and cases of Dysentery.,Positive,Medium,2025-09-21T22:28:26
S0131,Aizawl,Whatsapp,Awareness camp in Aizawl about preventing Cholera.,Positive,Medium,2025-09-06T22:47:26
S0132,Imphal West,Whatsapp,Awareness camp in Imphal West about preventing Hepatitis A.,Neutral,Medium,2025-09-02T10:36:26
S0133,Imphal West,Whatsapp,Hospitals in Imphal West are seeing more patients with Dysentery.,Neutral,Medium,2025-09-25T22:45:26
S0134,Kamrup,Facebook,Awareness camp in Kamrup about preventing Hepatitis A.,Neutral,Medium,2025-09-21T15:53:26
S0135,Imphal East,News,People in Imphal East complaining about dirty water and cases of Dysentery.,Positive,Medium,2025-09-20T23:17:26
S0136,Mokokchung,Whatsapp,Rumors spreading on WhatsApp in Mokokchung about unsafe drinking water.,Neutral,Low,2025-08-31T19:31:26
S0137,Imphal West,Facebook,People in Imphal West complaining about dirty water and cases of Hepatitis A.,Positive,High,2025-09-07T10:00:26
S0138,Mokokchung,News,Is the water safe in Mokokchung? Many have symptoms like Fatigue.,Positive,Low,2025-09-16T10:48:26
S0139,West Khasi Hills,Forum,Hospitals in West Khasi Hills are seeing more patients with Dysentery.,Negative,Medium,2025-08-30T09:34:26
S0140,Mokokchung,Forum,Awareness camp in Mokokchung about preventing Cholera.,Neutral,High,2025-08-29T21:14:26
S0141,Sonitpur,Whatsapp,People in Sonitpur complaining about dirty water and cases of Dysentery.,Neutral,Medium,2025-09-06T00:08:26
S0142,Imphal West,Whatsapp,Rumors spreading on WhatsApp in Imphal West about unsafe drinking water.,Negative,Medium,2025-09-13T00:30:26
S0143,Barpeta,News,Awareness camp in Barpeta about preventing Dysentery.,Negative,Low,2025-09-18T08:36:26
S0144,Sonitpur,Whatsapp,Shortage of ORS reported in Sonitpur pharmacies.,Positive,Low,2025-09-10T18:03:26
S0145,Imphal East,Facebook,Shortage of Anti-diarrheal reported in Imphal East pharmacies.,Neutral,High,2025-09-03T09:47:26
S0146,Imphal East,Forum,Rumors spreading on WhatsApp in Imphal East about unsafe drinking water.,Negative,Low,2025-09-26T10:54:26
S0147,Barpeta,Whatsapp,Rumors spreading on WhatsApp in Barpeta about unsafe drinking water.,Positive,Medium,2025-09-16T11:31:26
S0148,Imphal West,Whatsapp,Hospitals in Imphal West are seeing more patients with Diarrhea.,Negative,High,2025-09-08T03:08:26
S0149,Aizawl,Forum,Rumors spreading on WhatsApp in Aizawl about unsafe drinking water.,Positive,High,2025-09-25T10:57:26
S0150,West Khasi Hills,Whatsapp,Hospitals in West Khasi Hills are seeing more patients with Cholera.,Negative,Medium,2025-09-16T08:37:26
S0151,East Khasi Hills,Whatsapp,Shortage of ORS reported in East Khasi Hills pharmacies.,Neutral,Medium,2025-09-09T05:48:26
S0152,West Khasi Hills,News,Hospitals in West Khasi Hills are seeing more patients with Diarrhea.,Neutral,High,2025-09-09T06:00:26
S0153,Ri-Bhoi,Facebook,Awareness camp in Ri-Bhoi about preventing Hepatitis A.,Negative,High,2025-09-18T09:05:26
S0154,Sonitpur,Twitter,Rumors spreading on WhatsApp in Sonitpur about unsafe drinking water.,Neutral,Medium,2025-09-21T16:05:26
S0155,East Khasi Hills,Whatsapp,Awareness camp in East Khasi Hills about preventing Typhoid.,Negative,Low,2025-09-26T02:31:26
S0156,Cachar,News,Awareness camp in Cachar about preventing Cholera.,Positive,Medium,2025-09-11T07:27:26
S0157,Dibrugarh,Facebook,Rumors spreading on WhatsApp in Dibrugarh about unsafe drinking water.,Negative,Low,2025-09-05T16:35:26
S0158,Mokokchung,Whatsapp,Hospitals in Mokokchung are seeing more patients with Hepatitis A.,Neutral,Low,2025-08-27T22:37:26
S0159,Imphal West,Facebook,People in Imphal West complaining about dirty water and cases of Dysentery.,Negative,Medium,2025-09-01T19:09:26
S0160,Imphal West,Facebook,People in Imphal West complaining about dirty water and cases of Diarrhea.,Negative,Medium,2025-09-11T17:25:26
S0161,Kamrup,Facebook,"🚨 Outbreak alert! Many people in Kamrup are suffering from Cholera, showing Watery diarrhea.",Negative,Low,2025-09-20T16:25:26
S0162,Mokokchung,Whatsapp,Shortage of Anti-diarrheal reported in Mokokchung pharmacies.,Neutral,Low,2025-08-31T11:27:26
S0163,Kohima,Twitter,People in Kohima complaining about dirty water and cases of Dysentery.,Negative,High,2025-09-14T21:44:26
S0164,Kamrup,Twitter,Hospitals in Kamrup are seeing more patients with Dysentery.,Positive,Medium,2025-09-23T02:09:26
S0165,Sonitpur,News,People in Sonitpur complaining about dirty water and cases of Dysentery.,Neutral,Low,2025-08-31T16:45:26
S0166,East Khasi Hills,News,Hospitals in East Khasi Hills are seeing more patients with Diarrhea.,Negative,High,2025-08-29T21:00:26
S0167,Dibrugarh,News,"🚨 Outbreak alert! Many people in Dibrugarh are suffering from Hepatitis A, showing Dark urine.",Negative,Low,2025-09-15T14:07:26
S0168,Imphal East,News,People in Imphal East complaining about dirty water and cases of Hepatitis A.,Negative,High,2025-08-30T19:32:26
S0169,Kamrup,Whatsapp,Rumors spreading on WhatsApp in Kamrup about unsafe drinking water.,Negative,Medium,2025-09-23T15:27:26
S0170,Ri-Bhoi,Whatsapp,Is the water safe in Ri-Bhoi? Many have symptoms like Vomiting.,Negative,High,2025-09-26T08:42:26
S0171,Kohima,Whatsapp,Shortage of ORS reported in Kohima pharmacies.,Positive,High,2025-09-05T02:07:26
S0172,Mokokchung,Forum,Awareness camp in Mokokchung about preventing Diarrhea.,Negative,High,2025-09-02T18:20:26
S0173,East Khasi Hills,Forum,People in East Khasi Hills complaining about dirty water and cases of Dysentery.,Positive,Low,2025-08-30T15:46:26
S0174,East Khasi Hills,Twitter,People in East Khasi Hills complaining about dirty water and cases of Cholera.,Negative,High,2025-09-25T06:42:26
S0175,Kohima,News,People in Kohima complaining about dirty water and cases of Typhoid.,Neutral,Medium,2025-09-12T21:27:26
S0176,West Khasi Hills,Whatsapp,Awareness camp in West Khasi Hills about preventing Typhoid.,Neutral,Medium,2025-09-02T22:02:26
S0177,Sonitpur,Forum,Awareness camp in Sonitpur about preventing Cholera.,Positive,High,2025-08-29T07:41:26
S0178,Kohima,Facebook,Hospitals in Kohima are seeing more patients with Hepatitis A.,Neutral,Low,2025-09-16T13:11:26
S0179,Imphal East,Forum,People in Imphal East complaining about dirty water and cases of Hepatitis A.,Neutral,Low,2025-09-14T08:24:26
S0180,Aizawl,Forum,Hospitals in Aizawl are seeing more patients with Dysentery.,Neutral,Medium,2025-08-31T17:32:26
S0181,Shillong,Whatsapp,Awareness camp in Shillong about preventing Dysentery.,Positive,High,2025-09-08T05:36:26
S0182,Dibrugarh,Facebook,Hospitals in Dibrugarh are seeing more patients with Typhoid.,Neutral,High,2025-09-06T10:49:26
S0183,Barpeta,Forum,Hospitals in Barpeta are seeing more patients with Cholera.,Negative,Medium,2025-09-02T16:48:26
S0184,Shillong,Facebook,Shortage of Antibiotics reported in Shillong pharmacies.,Neutral,High,2025-09-22T08:34:26
S0185,Sonitpur,Forum,Rumors spreading on WhatsApp in Sonitpur about unsafe drinking water.,Neutral,High,2025-09-06T15:05:26
S0186,East Khasi Hills,Forum,Awareness camp in East Khasi Hills about preventing Diarrhea.,Negative,Medium,2025-09-05T16:22:26
S0187,West Khasi Hills,Forum,Awareness camp in West Khasi Hills about preventing Typhoid.,Negative,Medium,2025-09-06T21:24:26
S0188,Mokokchung,Forum,Hospitals in Mokokchung are seeing more patients with Typhoid.,Neutral,Medium,2025-09-25T04:20:26
S0189,Kamrup,Whatsapp,Rumors spreading on WhatsApp in Kamrup about unsafe drinking water.,Negative,High,2025-08-30T12:55:26
S0190,Sonitpur,Twitter,Rumors spreading on WhatsApp in Sonitpur about unsafe drinking water.,Negative,High,2025-09-03T15:25:26
S0191,Kohima,Whatsapp,Awareness camp in Kohima about preventing Diarrhea.,Neutral,Medium,2025-09-03T09:57:26
S0192,Kamrup,News,Hospitals in Kamrup are seeing more patients with Diarrhea.,Negative,Low,2025-09-24T23:37:26
S0193,Mokokchung,Whatsapp,People in Mokokchung complaining about dirty water and cases of Typhoid.,Negative,High,2025-09-18T00:02:26
S0194,Ri-Bhoi,Twitter,People in Ri-Bhoi complaining about dirty water and cases of Dysentery.,Negative,Low,2025-08-31T11:55:26
S0195,West Khasi Hills,Whatsapp,Rumors spreading on WhatsApp in West Khasi Hills about unsafe drinking water.,Positive,High,2025-09-19T19:03:26
S0196,Cachar,Facebook,Hospitals in Cachar are seeing more patients with Dysentery.,Negative,Medium,2025-09-22T12:47:26
S0197,Kamrup,Facebook,Is the water safe in Kamrup? Many have symptoms like Bloody diarrhea.,Negative,Low,2025-09-12T14:49:26
S0198,East Khasi Hills,Whatsapp,People in East Khasi Hills complaining about dirty water and cases of Typhoid.,Positive,Low,2025-09-24T12:41:26
S0199,Kohima,Whatsapp,Is the water safe in Kohima? Many have symptoms like Fever.,Positive,Medium,2025-09-21T18:53:26
S0200,Jorhat,Whatsapp,Hospitals in Jorhat are seeing more patients with Diarrhea.,Neutral,Medium,2025-08-31T23:34:26
S0201,Barpeta,News,Shortage of Electrolyte Powder reported in Barpeta pharmacies.,Negative,High,2025-09-22T11:29:26
S0202,Imphal West,News,Awareness camp in Imphal West about preventing Dysentery.,Neutral,High,2025-09-04T19:26:26
S0203,Sonitpur,Facebook,Hospitals in Sonitpur are seeing more patients with Hepatitis A.,Negative,Low,2025-09-19T11:11:26
S0204,Sonitpur,Facebook,Shortage of Anti-diarrheal reported in Sonitpur pharmacies.,Negative,High,2025-09-03T23:31:26
S0205,Kamrup,Forum,Awareness camp in Kamrup about preventing Typhoid.,Negative,Low,2025-08-28T04:17:26
S0206,Sonitpur,News,Shortage of Electrolyte Powder reported in Sonitpur pharmacies.,Positive,Low,2025-09-17T12:30:26
S0207,East Khasi Hills,Facebook,Is the water safe in East Khasi Hills? Many have symptoms like Nausea.,Positive,Medium,2025-09-20T19:42:26
S0208,Ri-Bhoi,Whatsapp,Awareness camp in Ri-Bhoi about preventing Dysentery.,Positive,Medium,2025-09-04T02:34:26
S0209,Dibrugarh,News,"🚨 Outbreak alert! Many people in Dibrugarh are suffering from Dysentery, showing Fever.",Negative,Medium,2025-09-24T19:28:26
S0210,Dibrugarh,Twitter,Rumors spreading on WhatsApp in Dibrugarh about unsafe drinking water.,Negative,Low,2025-09-04T23:23:26
S0211,East Khasi Hills,Forum,Hospitals in East Khasi Hills are seeing more patients with Cholera.,Negative,Medium,2025-09-19T15:28:26
S0212,Imphal East,Whatsapp,Shortage of Electrolyte Powder reported in Imphal East pharmacies.,Negative,Medium,2025-09-17T06:32:26
S0213,Sonitpur,Forum,Hospitals in Sonitpur are seeing more patients with Typhoid.,Negative,Medium,2025-09-04T01:22:26
S0214,Imphal West,Facebook,Shortage of Antibiotics reported in Imphal West pharmacies.,Negative,Low,2025-09-23T05:00:26
S0215,Cachar,Twitter,Is the water safe in Cachar? Many have symptoms like Stomach cramps.,Positive,Low,2025-09-26T14:15:26
S0216,Mokokchung,News,Is the water safe in Mokokchung? Many have symptoms like Dark urine.,Negative,Medium,2025-09-10T19:16:26
